optimizer,run,epoch,train_loss,val_acc,epoch_time_s,peak_mem_MiB
SGD,1,1,1.8402,0.4609,96.66,1684.5
SGD,1,2,1.1930,0.6275,110.10,1684.5
SGD,1,3,0.8352,0.7265,106.96,1684.5
SGD,1,4,0.6266,0.7735,91.89,1684.5
SGD,1,5,0.4909,0.7979,91.88,1684.5
SGD,1,6,0.3807,0.8139,89.98,1684.5
SGD,1,7,0.2827,0.8183,88.66,1684.5
SGD,1,8,0.2022,0.7949,90.29,1684.5
SGD,1,9,0.1366,0.7669,97.03,1684.5
SGD,1,10,0.0994,0.8171,94.72,1684.5
SGD,1,11,0.0650,0.7780,95.56,1684.5
SGD,1,12,0.0500,0.8244,100.17,1684.5
SGD,1,13,0.0464,0.8283,91.09,1684.5
SGD,1,14,0.0315,0.7952,89.70,1684.5
SGD,1,15,0.0258,0.8218,96.02,1684.5
SGD,1,16,0.0156,0.8401,98.04,1684.5
SGD,1,17,0.0116,0.8335,93.88,1684.5
SGD,1,18,0.0093,0.8396,88.54,1684.5
SGD,1,19,0.0082,0.8391,89.22,1684.5
SGD,1,20,0.0076,0.8439,88.46,1684.5
Adam,1,1,1.3628,0.5875,87.88,1727.6
Adam,1,2,0.8317,0.7178,89.84,1727.6
Adam,1,3,0.6169,0.7201,85.62,1727.6
Adam,1,4,0.4934,0.7830,84.00,1727.6
Adam,1,5,0.3951,0.7644,84.22,1727.6
Adam,1,6,0.3091,0.7037,84.49,1727.6
Adam,1,7,0.2407,0.7895,84.42,1727.6
Adam,1,8,0.1652,0.7896,84.22,1727.6
Adam,1,9,0.1224,0.8085,83.86,1727.6
Adam,1,10,0.0943,0.8341,84.92,1727.6
Adam,1,11,0.0749,0.7747,85.53,1727.6
Adam,1,12,0.0616,0.8196,84.15,1727.6
Adam,1,13,0.0570,0.8242,82.15,1727.6
Adam,1,14,0.0508,0.8160,82.68,1727.6
Adam,1,15,0.0415,0.8412,83.17,1727.6
Adam,1,16,0.0412,0.8175,83.60,1727.6
Adam,1,17,0.0420,0.7997,84.04,1727.6
Adam,1,18,0.0318,0.8363,84.03,1727.6
Adam,1,19,0.0435,0.8352,83.51,1727.6
Adam,1,20,0.0281,0.8281,82.99,1727.6
RMSprop,1,1,1.7016,0.4585,84.59,1682.8
RMSprop,1,2,1.0752,0.6586,82.96,1682.8
RMSprop,1,3,0.7483,0.7257,82.44,1682.8
RMSprop,1,4,0.5759,0.6753,81.78,1682.8
RMSprop,1,5,0.4597,0.7535,81.12,1682.8
RMSprop,1,6,0.3595,0.8100,81.02,1682.8
RMSprop,1,7,0.2791,0.7692,81.21,1682.8
RMSprop,1,8,0.2023,0.8200,81.13,1682.8
RMSprop,1,9,0.1422,0.7938,81.38,1682.8
RMSprop,1,10,0.1077,0.7932,81.18,1682.8
RMSprop,1,11,0.0842,0.8193,80.99,1682.8
RMSprop,1,12,0.0752,0.8055,83.60,1682.8
RMSprop,1,13,0.0647,0.8108,82.26,1682.8
RMSprop,1,14,0.0585,0.8202,81.13,1682.8
RMSprop,1,15,0.0486,0.8079,80.71,1682.8
RMSprop,1,16,0.0483,0.8428,81.53,1682.8
RMSprop,1,17,0.0394,0.8263,80.55,1682.8
RMSprop,1,18,0.0391,0.8324,80.27,1682.8
RMSprop,1,19,0.0369,0.8126,82.32,1682.8
RMSprop,1,20,0.0348,0.8468,81.83,1682.8
Adagrad,1,1,1.6452,0.4723,80.97,1683.1
Adagrad,1,2,1.0322,0.6199,84.06,1683.1
Adagrad,1,3,0.7539,0.7048,84.82,1683.1
Adagrad,1,4,0.5831,0.7542,85.00,1683.1
Adagrad,1,5,0.4588,0.7908,84.81,1683.1
Adagrad,1,6,0.3589,0.7914,86.27,1683.1
Adagrad,1,7,0.2739,0.7278,85.08,1683.1
Adagrad,1,8,0.1969,0.8230,84.21,1683.1
Adagrad,1,9,0.1252,0.8216,82.31,1683.1
Adagrad,1,10,0.0724,0.8109,86.35,1683.1
Adagrad,1,11,0.0352,0.8244,84.58,1683.1
Adagrad,1,12,0.0169,0.8295,85.32,1683.1
Adagrad,1,13,0.0087,0.8516,84.14,1683.1
Adagrad,1,14,0.0051,0.8513,84.63,1683.1
Adagrad,1,15,0.0035,0.8527,84.92,1683.1
Adagrad,1,16,0.0028,0.8522,81.60,1683.1
Adagrad,1,17,0.0023,0.8539,83.13,1683.1
Adagrad,1,18,0.0020,0.8556,86.02,1683.1
Adagrad,1,19,0.0017,0.8542,84.33,1683.1
Adagrad,1,20,0.0015,0.8545,85.19,1683.1
Nadam,1,1,1.2811,0.6285,86.13,1726.6
Nadam,1,2,0.7176,0.6470,85.35,1726.6
Nadam,1,3,0.5277,0.7672,85.38,1726.6
Nadam,1,4,0.4112,0.7730,98.20,1726.6
Nadam,1,5,0.3182,0.7415,85.34,1726.6
Nadam,1,6,0.2356,0.8311,85.33,1726.6
Nadam,1,7,0.1671,0.8044,83.64,1726.6
Nadam,1,8,0.1174,0.7806,83.59,1726.6
Nadam,1,9,0.0815,0.8243,85.87,1726.6
Nadam,1,10,0.0760,0.8267,85.05,1726.6
Nadam,1,11,0.0597,0.7968,84.66,1726.6
Nadam,1,12,0.0530,0.8131,87.69,1726.6
Nadam,1,13,0.0565,0.8405,84.47,1726.6
Nadam,1,14,0.0422,0.8362,85.10,1726.6
Nadam,1,15,0.0437,0.8363,86.00,1726.6
Nadam,1,16,0.0338,0.8340,85.12,1726.6
Nadam,1,17,0.0356,0.8071,84.30,1726.6
Nadam,1,18,0.0365,0.8487,84.37,1726.6
Nadam,1,19,0.0319,0.8348,84.21,1726.6
Nadam,1,20,0.0286,0.8569,84.87,1726.6
